"method","line","smell","quality"
"io.kubernetes.client.openapi.models.V1RoleList.validateJsonObject(JsonObject jsonObj)",230,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1RoleList.validateJsonObject(JsonObject jsonObj)",230,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1RuntimeClassList.validateJsonObject(JsonObject jsonObj)",230,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1RuntimeClassList.validateJsonObject(JsonObject jsonObj)",230,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1SecretList.validateJsonObject(JsonObject jsonObj)",230,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1SecretList.validateJsonObject(JsonObject jsonObj)",230,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1ServiceAccountList.validateJsonObject(JsonObject jsonObj)",230,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1ServiceAccountList.validateJsonObject(JsonObject jsonObj)",230,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1ServiceList.validateJsonObject(JsonObject jsonObj)",230,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1ServiceList.validateJsonObject(JsonObject jsonObj)",230,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1StatefulSetList.validateJsonObject(JsonObject jsonObj)",230,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1StatefulSetList.validateJsonObject(JsonObject jsonObj)",230,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1StorageClassList.validateJsonObject(JsonObject jsonObj)",230,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1StorageClassList.validateJsonObject(JsonObject jsonObj)",230,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1ValidatingWebhookConfigurationList.validateJsonObject(JsonObject jsonObj)",230,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1ValidatingWebhookConfigurationList.validateJsonObject(JsonObject jsonObj)",230,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1VolumeAttachmentList.validateJsonObject(JsonObject jsonObj)",230,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1VolumeAttachmentList.validateJsonObject(JsonObject jsonObj)",230,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V2HorizontalPodAutoscalerList.validateJsonObject(JsonObject jsonObj)",230,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V2HorizontalPodAutoscalerList.validateJsonObject(JsonObject jsonObj)",230,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.AuthenticationV1TokenRequest.validateJsonObject(JsonObject jsonObj)",249,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.AuthenticationV1TokenRequest.validateJsonObject(JsonObject jsonObj)",249,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1alpha2PodSchedulingContext.validateJsonObject(JsonObject jsonObj)",249,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2PodSchedulingContext.validateJsonObject(JsonObject jsonObj)",249,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaim.validateJsonObject(JsonObject jsonObj)",249,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaim.validateJsonObject(JsonObject jsonObj)",249,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1CertificateSigningRequest.validateJsonObject(JsonObject jsonObj)",249,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1CertificateSigningRequest.validateJsonObject(JsonObject jsonObj)",249,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1CustomResourceDefinition.validateJsonObject(JsonObject jsonObj)",249,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1CustomResourceDefinition.validateJsonObject(JsonObject jsonObj)",249,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1JobSpec.validateJsonObject(JsonObject jsonObj)",501,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1JobSpec.validateJsonObject(JsonObject jsonObj)",501,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1LocalSubjectAccessReview.validateJsonObject(JsonObject jsonObj)",249,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1LocalSubjectAccessReview.validateJsonObject(JsonObject jsonObj)",249,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1SelfSubjectAccessReview.validateJsonObject(JsonObject jsonObj)",249,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1SelfSubjectAccessReview.validateJsonObject(JsonObject jsonObj)",249,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1SelfSubjectRulesReview.validateJsonObject(JsonObject jsonObj)",249,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1SelfSubjectRulesReview.validateJsonObject(JsonObject jsonObj)",249,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1SubjectAccessReview.validateJsonObject(JsonObject jsonObj)",249,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1SubjectAccessReview.validateJsonObject(JsonObject jsonObj)",249,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1TokenReview.validateJsonObject(JsonObject jsonObj)",249,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1TokenReview.validateJsonObject(JsonObject jsonObj)",249,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1VolumeAttachment.validateJsonObject(JsonObject jsonObj)",249,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1VolumeAttachment.validateJsonObject(JsonObject jsonObj)",249,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1alpha1Validation.validateJsonObject(JsonObject jsonObj)",218,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1Validation.validateJsonObject(JsonObject jsonObj)",218,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1beta1Validation.validateJsonObject(JsonObject jsonObj)",218,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1Validation.validateJsonObject(JsonObject jsonObj)",218,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1VsphereVirtualDiskVolumeSource.validateJsonObject(JsonObject jsonObj)",218,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1VsphereVirtualDiskVolumeSource.validateJsonObject(JsonObject jsonObj)",218,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicy.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicy.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1APIService.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1APIService.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicy.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicy.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1beta2FlowSchema.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2FlowSchema.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfiguration.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfiguration.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1beta3FlowSchema.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3FlowSchema.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfiguration.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfiguration.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1CronJob.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1CronJob.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1DaemonSet.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1DaemonSet.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1Deployment.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Deployment.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1HorizontalPodAutoscaler.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1HorizontalPodAutoscaler.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1Ingress.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Ingress.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1Job.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Job.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1Namespace.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Namespace.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1Node.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Node.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1PersistentVolume.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PersistentVolume.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaim.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaim.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1Pod.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Pod.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1PodDisruptionBudget.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PodDisruptionBudget.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1ReplicaSet.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1ReplicaSet.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1ReplicationController.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1ReplicationController.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1ResourceQuota.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1ResourceQuota.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1Scale.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Scale.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1Service.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Service.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1StatefulSet.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1StatefulSet.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1SubjectAccessReviewSpec.validateJsonObject(JsonObject jsonObj)",295,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1SubjectAccessReviewSpec.validateJsonObject(JsonObject jsonObj)",295,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V2HorizontalPodAutoscaler.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V2HorizontalPodAutoscaler.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaCondition.validateJsonObject(JsonObject jsonObj)",246,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaCondition.validateJsonObject(JsonObject jsonObj)",246,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationCondition.validateJsonObject(JsonObject jsonObj)",246,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationCondition.validateJsonObject(JsonObject jsonObj)",246,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaCondition.validateJsonObject(JsonObject jsonObj)",246,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaCondition.validateJsonObject(JsonObject jsonObj)",246,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationCondition.validateJsonObject(JsonObject jsonObj)",246,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationCondition.validateJsonObject(JsonObject jsonObj)",246,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1BoundObjectReference.validateJsonObject(JsonObject jsonObj)",217,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1BoundObjectReference.validateJsonObject(JsonObject jsonObj)",217,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1SELinuxOptions.validateJsonObject(JsonObject jsonObj)",217,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1SELinuxOptions.validateJsonObject(JsonObject jsonObj)",217,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1Toleration.validateJsonObject(JsonObject jsonObj)",245,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Toleration.validateJsonObject(JsonObject jsonObj)",245,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1IngressLoadBalancerIngress.validateJsonObject(JsonObject jsonObj)",200,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1IngressLoadBalancerIngress.validateJsonObject(JsonObject jsonObj)",200,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1LoadBalancerIngress.validateJsonObject(JsonObject jsonObj)",200,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1LoadBalancerIngress.validateJsonObject(JsonObject jsonObj)",200,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.VersionInfo.validateJsonObject(JsonObject jsonObj)",366,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.VersionInfo.validateJsonObject(JsonObject jsonObj)",366,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1APIResourceList.validateJsonObject(JsonObject jsonObj)",230,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1APIResourceList.validateJsonObject(JsonObject jsonObj)",230,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1ConfigMapNodeConfigSource.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1ConfigMapNodeConfigSource.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1CustomResourceColumnDefinition.validateJsonObject(JsonObject jsonObj)",276,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1CustomResourceColumnDefinition.validateJsonObject(JsonObject jsonObj)",276,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1EndpointAddress.validateJsonObject(JsonObject jsonObj)",219,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1EndpointAddress.validateJsonObject(JsonObject jsonObj)",219,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1RuleWithOperations.validateJsonObject(JsonObject jsonObj)",279,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1RuleWithOperations.validateJsonObject(JsonObject jsonObj)",279,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1SecurityContext.validateJsonObject(JsonObject jsonObj)",417,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1SecurityContext.validateJsonObject(JsonObject jsonObj)",417,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.CoreV1EndpointPort.validateJsonObject(JsonObject jsonObj)",218,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.CoreV1EndpointPort.validateJsonObject(JsonObject jsonObj)",218,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1ContainerPort.validateJsonObject(JsonObject jsonObj)",246,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1ContainerPort.validateJsonObject(JsonObject jsonObj)",246,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1ContainerStateTerminated.validateJsonObject(JsonObject jsonObj)",303,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1ContainerStateTerminated.validateJsonObject(JsonObject jsonObj)",303,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1alpha1ParamRef.validateJsonObject(JsonObject jsonObj)",218,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ParamRef.validateJsonObject(JsonObject jsonObj)",218,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1beta1ParamRef.validateJsonObject(JsonObject jsonObj)",218,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1ParamRef.validateJsonObject(JsonObject jsonObj)",218,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1PodDisruptionBudgetSpec.validateJsonObject(JsonObject jsonObj)",219,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PodDisruptionBudgetSpec.validateJsonObject(JsonObject jsonObj)",219,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1Secret.validateJsonObject(JsonObject jsonObj)",321,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Secret.validateJsonObject(JsonObject jsonObj)",321,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1StorageOSPersistentVolumeSource.validateJsonObject(JsonObject jsonObj)",246,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1StorageOSPersistentVolumeSource.validateJsonObject(JsonObject jsonObj)",246,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1StorageOSVolumeSource.validateJsonObject(JsonObject jsonObj)",246,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1StorageOSVolumeSource.validateJsonObject(JsonObject jsonObj)",246,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1NetworkPolicyEgressRule.validateJsonObject(JsonObject jsonObj)",181,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1NetworkPolicyEgressRule.validateJsonObject(JsonObject jsonObj)",181,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1NetworkPolicyIngressRule.validateJsonObject(JsonObject jsonObj)",181,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1NetworkPolicyIngressRule.validateJsonObject(JsonObject jsonObj)",181,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1NodeSelectorTerm.validateJsonObject(JsonObject jsonObj)",180,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1NodeSelectorTerm.validateJsonObject(JsonObject jsonObj)",180,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1PodAffinity.validateJsonObject(JsonObject jsonObj)",181,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PodAffinity.validateJsonObject(JsonObject jsonObj)",181,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1PodAntiAffinity.validateJsonObject(JsonObject jsonObj)",181,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PodAntiAffinity.validateJsonObject(JsonObject jsonObj)",181,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1PodFailurePolicyRule.validateJsonObject(JsonObject jsonObj)",202,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PodFailurePolicyRule.validateJsonObject(JsonObject jsonObj)",202,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimStatus.validateJsonObject(JsonObject jsonObj)",229,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimStatus.validateJsonObject(JsonObject jsonObj)",229,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1CSIDriverSpec.validateJsonObject(JsonObject jsonObj)",348,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1CSIDriverSpec.validateJsonObject(JsonObject jsonObj)",348,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimStatus.validateJsonObject(JsonObject jsonObj)",319,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimStatus.validateJsonObject(JsonObject jsonObj)",319,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1beta2ResourcePolicyRule.validateJsonObject(JsonObject jsonObj)",282,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2ResourcePolicyRule.validateJsonObject(JsonObject jsonObj)",282,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1beta3ResourcePolicyRule.validateJsonObject(JsonObject jsonObj)",282,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3ResourcePolicyRule.validateJsonObject(JsonObject jsonObj)",282,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1ResourceRule.validateJsonObject(JsonObject jsonObj)",252,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1ResourceRule.validateJsonObject(JsonObject jsonObj)",252,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1APIGroupList.validateJsonObject(JsonObject jsonObj)",201,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1APIGroupList.validateJsonObject(JsonObject jsonObj)",201,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1alpha1ClusterTrustBundle.validateJsonObject(JsonObject jsonObj)",220,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ClusterTrustBundle.validateJsonObject(JsonObject jsonObj)",220,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1alpha1StorageVersion.validateJsonObject(JsonObject jsonObj)",249,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1StorageVersion.validateJsonObject(JsonObject jsonObj)",249,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimTemplate.validateJsonObject(JsonObject jsonObj)",220,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimTemplate.validateJsonObject(JsonObject jsonObj)",220,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClassParametersReference.validateJsonObject(JsonObject jsonObj)",219,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClassParametersReference.validateJsonObject(JsonObject jsonObj)",219,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1APIServiceCondition.validateJsonObject(JsonObject jsonObj)",248,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1APIServiceCondition.validateJsonObject(JsonObject jsonObj)",248,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1Binding.validateJsonObject(JsonObject jsonObj)",220,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Binding.validateJsonObject(JsonObject jsonObj)",220,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1CertificateSigningRequestCondition.validateJsonObject(JsonObject jsonObj)",276,"Long Method","Understandability, Maintainability"
